Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Nebraska,US,2020-04-12 23:18:15,41.1254,-98.2681,791,17,,774.0,31.0,51.85960275,10691.0,,2.149178255,84000031.0,USA,700.924163,
Nevada,US,2020-04-12 23:18:15,38.3135,-117.0554,2836,112,,2724.0,32.0,94.01010443,24611.0,282.0,3.94922426,84000032.0,USA,815.8260508,9.943582511
New Hampshire,US,2020-04-12 23:18:15,43.4525,-71.5639,929,23,236.0,906.0,33.0,69.94702398,10925.0,146.0,2.475780409,84000033.0,USA,822.5739902,15.71582347
New Jersey,US,2020-04-12 23:18:15,40.2989,-74.521,61850,2350,,59500.0,34.0,696.3372772000001,126735.0,7604.0,3.7995149560000003,84000034.0,USA,1426.844055,12.29426031
New Mexico,US,2020-04-12 23:18:15,34.8405,-106.2485,1245,26,235.0,1219.0,35.0,74.66119111,28692.0,78.0,2.088353414,84000035.0,USA,1720.6256190000001,6.2650602410000005
New York,US,2020-04-12 23:18:15,42.1657,-74.9481,189033,9385,23887.0,179648.0,36.0,1121.124012,461601.0,42594.0,4.9647416060000005,84000036.0,USA,2737.680538,22.53257368
North Carolina,US,2020-04-12 23:18:15,35.6301,-79.8064,4570,89,,4481.0,37.0,46.07841902,62139.0,331.0,1.947483589,84000037.0,USA,626.5354222,7.242888402999999
North Dakota,US,2020-04-12 23:18:15,47.5289,-99.78399999999999,308,7,121.0,301.0,38.0,50.79004911,10350.0,39.0,2.272727273,84000038.0,USA,1706.7435329999998,12.66233766
Ohio,US,2020-04-12 23:18:15,40.3888,-82.7649,6604,253,,6351.0,39.0,59.10222609,63243.0,1948.0,3.831011508,84000039.0,USA,565.9906245,29.49727438
Oklahoma,US,2020-04-12 23:18:15,35.5653,-96.9289,1970,96,865.0,1874.0,40.0,53.85995428,22760.0,446.0,4.873096447,84000040.0,USA,622.2601824,22.63959391
Oregon,US,2020-04-12 23:18:15,44.571999999999996,-122.0709,1527,52,,1475.0,41.0,38.107606700000005,29758.0,359.0,3.4053700069999997,84000041.0,USA,742.6366471,23.51015062
Pennsylvania,US,2020-04-12 23:18:15,40.5908,-77.2098,22938,557,,22381.0,42.0,182.2284446,124890.0,2097.0,2.428284942,84000042.0,USA,992.175013,9.142035051
Puerto Rico,US,2020-04-12 23:18:15,18.2208,-66.5901,897,44,,853.0,72.0,30.57876709,6716.0,,4.905239688,630.0,PRI,228.94871769999997,
Rhode Island,US,2020-04-12 23:18:15,41.6809,-71.5118,2665,63,35.0,2602.0,44.0,251.56674640000003,20350.0,201.0,2.363977486,84000044.0,USA,1920.969339,7.542213884
South Carolina,US,2020-04-12 23:18:15,33.8569,-80.945,3320,82,,3238.0,45.0,65.87334263,31425.0,496.0,2.469879518,84000045.0,USA,623.5149976,14.93975904
South Dakota,US,2020-04-12 23:18:15,44.2998,-99.4388,730,6,197.0,724.0,46.0,99.19933903,8553.0,43.0,0.8219178079999999,84000046.0,USA,1162.262941,5.890410959
Tennessee,US,2020-04-12 23:18:15,35.7478,-86.6923,5508,106,1504.0,5402.0,47.0,83.90037425,70677.0,567.0,1.924473493,84000047.0,USA,1076.584377,10.29411765
Texas,US,2020-04-12 23:18:15,31.0545,-97.5635,13677,283,2014.0,13394.0,48.0,59.50516088,124533.0,1338.0,2.069167215,84000048.0,USA,541.8115230000001,9.782847116000001
Utah,US,2020-04-12 23:18:15,40.15,-111.8624,2303,18,,2285.0,49.0,80.3592053,44234.0,195.0,0.781589231,84000049.0,USA,1543.468991,8.467216674
Vermont,US,2020-04-12 23:18:15,44.0459,-72.7107,727,27,15.0,700.0,50.0,119.06497150000001,9841.0,34.0,3.71389271,84000050.0,USA,1611.7171720000001,4.6767537830000006
Virginia,US,2020-04-12 23:18:15,37.7693,-78.17,5274,141,,5133.0,51.0,66.69845192,39985.0,751.0,2.673492605,84000051.0,USA,505.6764505,14.23966629
Washington,US,2020-04-12 23:18:15,47.4009,-121.4905,10609,506,,10103.0,53.0,140.5276682,93615.0,642.0,4.769535299999999,84000053.0,USA,1240.031828,6.051465737000001
West Virginia,US,2020-04-12 23:18:15,38.4912,-80.9545,593,6,83.0,587.0,54.0,44.82244115,16257.0,81.0,1.0118043840000002,84000054.0,USA,1228.8000439999998,13.65935919
